icao24,callsign,origin_country,time_position,longitude,latitude,baro_altitude,on_ground,velocity
4ba913,THY8VN,Turkey,1789370434,7.3905,50.9409,822.96,False,91.58
4ba910,THY1VN,Turkey,1789370410,29.3743,41.4388,3360.42,False,136.96
4ba912,THY43A,Turkey,1789370434,7.7889,44.8836,2110.74,False,104.07
4ba90c,THY5FM,Turkey,1789370435,37.1661,34.3477,11277.6,False,245.63
4ba90e,THY9NS,Turkey,1789369805,25.7767,44.1046,11277.6,False,255.66
4ba91a,THY5UR,Turkey,1789370433,30.3956,40.926,7719.06,False,198.66
4ba904,TKJ341,Turkey,1789370434,29.059,40.6919,1554.48,False,119.57
880c45,AIQ3004,Thailand,1789370435,99.8576,11.3276,10652.76,False,222.9
4b8c4b,TRK25,Turkey,1789370130,7.5364,47.593,,True,0
880c4d,AIQ324,Thailand,1789370433,100.3248,13.2265,6865.62,False,212.47
880c4b,AIQ3142,Thailand,1789370435,99.2793,10.5205,8267.7,False,216.95
880c4a,AIQ3210,Thailand,1789370412,100.633,13.9628,297.18,False,74.6
4b9e4f,STW167,Turkey,1789367602,28.9471,42.3567,10363.2,False,222.08
4b9e4b,STW173,Turkey,1789370433,30.4645,39.6088,9685.02,False,238.3
886283,TAX606,Thailand,1789370434,120.1442,22.7344,11887.2,False,243.21
88628f,TAX1648,Thailand,1789369393,38.5246,41.1119,12192,False,219.97
886290,TAX613,Thailand,1789370420,101.1724,14.4895,4716.78,False,186.76
4bb848,PGT77BA,Turkey,1789370434,29.2854,40.7821,10988.04,False,224.55
4ba519,TCIHY,Turkey,1789370434,32.1926,37.0637,11277.6,False,258.87
4bb844,PGT40ZL,Turkey,1789370433,30.5226,40.3405,7924.8,False,155.84
4bb845,PGT71PZ,Turkey,1789369910,36.8741,41.0949,10347.96,False,206.32
4bb842,PGT52PJ,Turkey,,,,10408.92,False,10.8
4bb843,PGT37PD,Turkey,1789370434,16.629,47.9995,662.94,False,74.41
4bb84f,PGT558Q,Turkey,1789370434,12.6236,48.0396,9144,False,214.89
4bb84d,PGT1981,Turkey,1789370434,29.0901,40.9067,1882.14,False,132.79
4bb84b,PGT47KU,Turkey,1789370175,36.6361,37.224,10972.8,False,210.26
4bb885,TKJ15J,Turkey,1789370432,22.4045,43.2982,10370.82,False,210.45
4bb88f,TKJ7NZ,Turkey,1789370434,30.017,40.3369,6568.44,False,159.64
4bb868,PGT52X,Turkey,1789370434,12.8,51.3848,2247.9,False,113.25
4bb866,PGT1871,Turkey,1789370434,33.4914,35.1576,419.1,False,76.58
4bb867,PGT19T,Turkey,1789369772,29.143,42.411,10972.8,False,240.76
4bb864,PGT72XA,Turkey,1789370434,30.7792,36.802,548.64,False,81.24
4bb865,PGT838F,Turkey,1789370434,27.9715,37.1776,1554.48,False,81.55
4bb879,PGT497D,Turkey,1789370434,29.1397,40.8245,853.44,False,87.2
4bb876,PGT96TZ,Turkey,1789370434,10.6316,47.712,9060.18,False,221
4bb86f,PGT24BK,Turkey,1789370434,27.8622,37.6284,5463.54,False,181.25
